diagnosis,table,column,row,value,repair,extended_diagnosis,file_path,data_type,nullable
source_mat_id error,ws,source_mat_id,112,EMOBON_BPNS_Wa_112,,source_mat_id should match ^EMOBON_BPNS_Wa_220420_NAum_2$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,113,EMOBON_BPNS_Wa_113,,source_mat_id should match ^EMOBON_BPNS_Wa_220420_NAum_3$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,114,EMOBON_BPNS_Wa_114,,source_mat_id should match ^EMOBON_BPNS_Wa_220420_NAum_4$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,115,EMOBON_BPNS_Wa_115,,source_mat_id should match ^EMOBON_BPNS_Wa_220420_NAum_blank_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,116,EMOBON_BPNS_Wa_116,,source_mat_id should match ^EMOBON_BPNS_Wa_220420_NAum_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,117,EMOBON_BPNS_Wa_117,,source_mat_id should match ^EMOBON_BPNS_Wa_220420_NAum_2$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,118,EMOBON_BPNS_Wa_118,,source_mat_id should match ^EMOBON_BPNS_Wa_220420_NAum_3$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,119,EMOBON_BPNS_Wa_119,,source_mat_id should match ^EMOBON_BPNS_Wa_220420_NAum_4$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,120,EMOBON_BPNS_Wa_120,,source_mat_id should match ^EMOBON_BPNS_Wa_220420_NAum_blank_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,121,EMOBON_BPNS_Wa_121,,source_mat_id should match ^EMOBON_BPNS_Wa_220601_200um_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,122,EMOBON_BPNS_Wa_122,,source_mat_id should match ^EMOBON_BPNS_Wa_220601_200um_2$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,123,EMOBON_BPNS_Wa_123,,source_mat_id should match ^EMOBON_BPNS_Wa_220601_200um_3$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,124,EMOBON_BPNS_Wa_124,,source_mat_id should match ^EMOBON_BPNS_Wa_220601_200um_4$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,125,EMOBON_BPNS_Wa_125,,source_mat_id should match ^EMOBON_BPNS_Wa_220601_200um_blank_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,126,EMOBON_BPNS_Wa_126,,source_mat_id should match ^EMOBON_BPNS_Wa_220601_3um_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,127,EMOBON_BPNS_Wa_127,,source_mat_id should match ^EMOBON_BPNS_Wa_220601_3um_2$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,128,EMOBON_BPNS_Wa_128,,source_mat_id should match ^EMOBON_BPNS_Wa_220601_3um_3$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,129,EMOBON_BPNS_Wa_129,,source_mat_id should match ^EMOBON_BPNS_Wa_220601_3um_4$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
